text,label
은행권의 예금 금리가 인상되었습니다,1
자동차 수출이 전년 동기 대비 증가했습니다,1
국내 대기업들이 해외 투자를 확대하고 있습니다,1
부동산 거래량이 전월 대비 감소했습니다,1
온라인 쇼핑몰 매출이 크게 증가했습니다,1
금융감독원이 새로운 규제안을 발표했습니다,1
국내 기업의 해외 진출이 활발해지고 있습니다,1
소비자 신뢰지수가 상승세를 보이고 있습니다,1
벤처캐피털 투자가 활성화되고 있습니다,1
국채 수익률이 하락세를 이어가고 있습니다,1
교육부가 새로운 교육과정을 발표했습니다,2
복지정책이 확대될 예정입니다,2
교통사고가 어제 저녁에 발생했습니다,2
사회복지시설이 새로 건립됩니다,2
청년 일자리 지원 프로그램이 시작됩니다,2
고령화 문제 해결 방안이 논의되고 있습니다,2
의료보험 혜택이 확대됩니다,2
공공기관에서 채용 설명회를 개최했습니다,2
지역사회 봉사활동이 활발해지고 있습니다,2
사회적 거리두기 지침이 완화되었습니다,2
아동 돌봄 서비스가 전국적으로 확대됩니다,2
노인 복지시설 운영 기준이 강화되었습니다,2
장애인 접근성 개선 사업이 추진됩니다,2
다문화 가정 지원 프로그램이 확충됩니다,2
공공의료 체계 개선방안이 발표되었습니다,2
저소득층 주거 지원 정책이 시행됩니다,2
사회안전망 구축을 위한 예산이 증액되었습니다,2
시민 참여형 도시계획이 도입됩니다,2
공교육 정상화를 위한 대책이 마련되었습니다,2
지역균형발전을 위한 특별법이 제정됩니다,2
보건복지부가 코로나19 방역지침을 발표했습니다,2
전국 지방자치단체가 복지예산을 확대합니다,2
시민단체들이 환경보호 캠페인을 시작했습니다,2
대학교에서 새로운 장학금 제도를 도입합니다,2
지역사회에서 취약계층 지원 활동이 확산되고 있습니다,2
공공임대주택 공급이 확대될 예정입니다,2
청소년 상담센터가 새롭게 개소했습니다,2
국민연금 수급 연령 조정안이 논의되고 있습니다,2
지역 의료진 부족 문제 해결방안이 검토됩니다,2
사회복지사 처우 개선 방안이 마련되었습니다,2
삼성전자가 새로운 스마트폰을 출시합니다,3
AI 기술이 의료분야에 도입됩니다,3
자율주행차 기술이 크게 발전했습니다,3
반도체 기술 혁신이 이루어졌습니다,3
5G 네트워크가 전국에 확산되고 있습니다,3
로봇 기술이 제조업에 적용됩니다,3
양자컴퓨터 연구에서 획기적 성과가 나왔습니다,3
블록체인 기술을 활용한 새로운 서비스가 출시됩니다,3
사물인터넷 기기의 보급이 빠르게 증가하고 있습니다,3
바이오 기술 분야에서 중요한 발견이 있었습니다,3
클라우드 컴퓨팅 서비스가 확산되고 있습니다,3
빅데이터 분석 기술이 다양한 분야에 활용됩니다,3
가상현실 기술이 교육 분야에 도입됩니다,3
드론 기술이 물류 산업을 혁신하고 있습니다,3
인공지능 챗봇 서비스가 대중화되고 있습니다,3
전기차 배터리 기술이 획기적으로 발전했습니다,3
메타버스 플랫폼이 새로운 비즈니스 모델을 창출합니다,3
생체인식 기술의 보안성이 크게 향상되었습니다,3
스마트 홈 기술이 일상생활에 보편화되고 있습니다,3
우주 기술 개발에 민간 기업들이 참여하고 있습니다,3
네이버가 새로운 AI 서비스를 공개했습니다,3
카카오가 디지털 헬스케어 사업에 진출합니다,3
국내 IT 기업들이 글로벌 시장 진출을 확대하고 있습니다,3
사이버 보안 기술이 더욱 중요해지고 있습니다,3
게임 산업에서 VR 기술 활용이 증가하고 있습니다,3
스마트팩토리 구축 사업이 본격화되고 있습니다,3
디지털 전환을 위한 기업 투자가 늘어나고 있습니다,3
인공지능 반도체 개발 경쟁이 치열해지고 있습니다,3
국내 스타트업들이 혁신 기술을 선보이고 있습니다,3
소프트웨어 개발자 인력 수요가 급증하고 있습니다,3
부산국제영화제가 성공적으로 개최되었습니다,4
K-POP이 전세계적으로 인기를 끌고 있습니다,4
전통문화 보존 사업이 추진됩니다,4
미술관에서 특별 전시회가 열립니다,4
한국 드라마가 해외에서 큰 인기를 얻었습니다,4
문화재 복원 작업이 완료되었습니다,4
국립박물관에서 새로운 유물을 공개했습니다,4
전통 공연예술이 유네스코에 등재되었습니다,4
문화예술 교육 프로그램이 확대됩니다,4
지역 축제가 성대하게 개최되었습니다,4
독립영화 지원 정책이 강화됩니다,4
한국 문학이 해외에서 번역 출간되고 있습니다,4
전통 공예 기술자 양성 과정이 개설됩니다,4
디지털 아트 전시가 큰 관심을 받고 있습니다,4
청년 예술가 지원 프로그램이 확대됩니다,4
한류 문화 콘텐츠 수출이 급증하고 있습니다,4
지역 문화센터 건립 사업이 추진됩니다,4
온라인 문화 플랫폼이 새롭게 출시됩니다,4
전통 음식 문화 체험 프로그램이 인기입니다,4
문화 다양성 증진을 위한 정책이 마련됩니다,4
BTS가 그래미 어워드에서 공연을 선보였습니다,4
국립현대미술관에서 현대미술 특별전이 열립니다,4
한국 전통 음악이 해외 무대에서 호평받고 있습니다,4
웹툰 산업이 글로벌 시장으로 진출하고 있습니다,4
한국 영화가 국제영화제에서 수상했습니다,4
전국 도서관에서 독서 문화 진흥 행사가 열립니다,4
문화재청이 새로운 보존 기술을 도입했습니다,4
지역 예술인들을 위한 창작 공간이 확충됩니다,4
한국 게임이 세계 시장에서 큰 성공을 거두고 있습니다,4
전통 차 문화 체험 프로그램이 관광객들에게 인기입니다,4
축구 국가대표팀이 월드컵 본선에 진출했습니다,5
올림픽에서 금메달을 획득했습니다,5
프로야구 시즌이 성공적으로 마무리되었습니다,5
테니스 선수가 국제대회에서 우승했습니다,5
e스포츠 대회가 큰 관심을 받았습니다,5
마라톤 대회에 많은 시민들이 참여했습니다,5
프로농구 팀이 챔피언십을 차지했습니다,5
골프 선수가 메이저 대회에서 좋은 성적을 거두었습니다,5
배구 리그가 새로운 시즌을 시작했습니다,5
수영 선수가 아시안게임에서 신기록을 세웠습니다,5
프로축구 리그가 관중 동원에서 신기록을 달성했습니다,5
태권도 선수가 세계선수권에서 금메달을 획득했습니다,5
한국 야구팀이 WBC에서 좋은 성과를 거두었습니다,5
피겨스케이팅 선수가 그랑프리 파이널에 진출했습니다,5
프로배구 리그의 인기가 높아지고 있습니다,5
사이클 선수가 국제대회에서 메달을 획득했습니다,5
체조 선수가 세계선수권에서 우수한 성적을 거두었습니다,5
스키 선수가 동계 올림픽에서 메달을 목에 걸었습니다,5
유도 선수가 세계대회에서 한국의 위상을 높였습니다,5
펜싱 선수가 올림픽에서 금메달을 획득했습니다,5
국내 프로스포츠 리그의 수준이 향상되고 있습니다,5
스포츠과학 기술이 선수 훈련에 도입되고 있습니다,5
생활체육 참여율이 전국적으로 증가하고 있습니다,5
청소년 스포츠 꿈나무 발굴 프로그램이 확대됩니다,5
장애인 스포츠 지원 정책이 강화되고 있습니다,5
국민체력 향상을 위한 정책이 시행됩니다,5
스포츠 시설 현대화 사업이 추진되고 있습니다,5
국제 스포츠 대회 유치를 위한 노력이 계속되고 있습니다,5
운동선수 은퇴 후 진로 지원 프로그램이 마련됩니다,5
스포츠 의학 기술이 발전하고 있습니다,5
